,CenLon,CenLat,Area,thickness,Slope,Zmin,Zmed,Zmax,Aspect
0,18.496,67.91,3.696,84.0,15.9,1207,1443,2070,282
1,18.569,67.903,3.405,99.0,13.2,1143,1414,1797,102
2,-121.04816,48.35199,0.012,99.0,27.4,2058,2093,2128,268
3,-117.284,52.1754,16.154,150.0,12.6,1982,2870,3448,93
4,-109.63833,43.17324,3.061,55.0,19.4,3328,3600,4052,26
5,-122.21133,41.41401,1.291,20.0,21.5,3033,3492,4180,332
6,-113.72706,48.75239,1.018,64.0,17.2,1961,2039,2398,23
7,-119.27957,37.75247,0.073,17.0,20.0,3496,3548,3682,340
8,-121.69973,45.37284,0.21,14.0,32.2,3103,3229,3373,237
9,-121.70536,45.37888,0.099,43.0,35.7,2597,2757,3075,293
10,-121.79024,44.15988,0.139,19.0,19.3,2509,2580,2721,312
11,-121.68056,45.38097,1.719,54.0,23.9,2011,2426,3310,42
12,-121.70799,46.85054,0.01,60.0,41.7,3120,3161,3201,53
13,-121.77332,44.1483,0.808,26.0,20.7,2321,2590,2810,91
14,-121.7064,45.39213,0.529,33.0,19.7,2004,2221,2462,317
15,-121.67327,45.39953,0.012,20.0,20.6,1795,1837,1874,322
16,-121.78961,44.10104,0.018,21.0,21.7,2340,2392,2467,260
17,-121.68244,45.36821,2.392,20.0,25.2,2164,2613,3395,110
18,-121.76696,44.11163,0.11,17.0,23.4,2484,2584,2741,35
19,-121.78988,46.89649,3.029,26.0,20.8,1992,2418,3017,27
20,-121.71789,45.37141,1.01,21.0,29.0,1813,2450,3005,280
21,-121.69701,45.35271,1.218,16.0,22.8,1884,2285,3089,160
22,-121.74768,46.82481,4.444,38.0,24.5,1425,2726,4350,165
23,-121.71714,45.36098,3.116,22.0,21.6,1803,2389,3142,240
24,-121.82996,48.74956,2.888,58.0,18.6,1582,2159,2967,199
25,-134.349,58.38,9.528,66.0,10.0,676,1123,1494,327
26,87.697410583,50.061340332,4.412,56.0,25.5,2489,3223,3717,48
27,87.750350952,50.057739258,0.09,86.0,34.9,3238,3407,3498,343
28,77.749273443,41.786813441,0.954,34.0,15.8,3921,4200,4458,11
29,74.497660363,42.454479253,4.827,53.0,14.4,3315,3893,4291,335
30,78.204925537,41.827301025,8.945,61.0,17.4,3771,4287,4853,310
31,78.272803308,42.140309987,2.046,53.0,21.2,3328,3844,4361,358
32,71.569862366,39.609699249,21.345,110.0,10.0,3648,4202,4895,27
33,140.865356445,62.588794708,3.925,76.0,17.3,2076,2420,2631,345
34,80.781663716,45.236448969,1.774,49.0,14.1,3254,3478,3838,355
35,80.808349609,45.23513031,2.286,49.0,14.8,3191,3547,3826,347
36,79.146481264,44.927850584,0.626,52.0,15.6,3096,3188,3366,1
37,79.28374541,44.885745395,2.652,43.0,14.3,3120,3309,3555,21
38,79.31613139,44.878485551,0.056,52.0,18.3,3291,3325,3375,107
39,79.314866485,44.917077444,0.617,47.0,15.9,3202,3348,3570,345
40,79.452026367,44.857719421,1.897,45.0,18.7,3122,3322,3719,74
41,79.472576382,44.836815371,0.081,49.0,25.0,3327,3418,3495,338
42,79.485387473,44.890763961,1.327,67.0,14.5,3299,3451,3680,33
43,79.536624153,44.970389273,0.435,37.0,19.9,3379,3589,3771,345
44,79.546013352,44.955184035,1.183,39.0,18.7,3334,3541,3856,24
45,79.574002205,44.956689157,0.074,32.0,21.8,3490,3551,3644,16
46,79.669416738,44.92567769,0.06,44.0,27.1,3479,3537,3642,48
47,79.633519607,44.945750706,1.632,54.0,16.1,3296,3498,3931,360
48,79.663438612,44.962358461,0.88,40.0,14.5,3394,3515,3699,9
49,79.681942852,44.965957519,0.685,37.0,20.7,3438,3634,3819,355
50,79.749720499,44.997134795,0.347,58.0,25.5,3395,3607,3851,41
51,79.821880477,44.996490367,1.434,51.0,17.4,3300,3505,3915,328
52,79.835355212,45.00801858,1.448,59.0,13.1,3410,3582,3773,2
53,79.475802567,44.583903279,1.595,50.0,19.1,3258,3497,3751,20
54,79.508072393,44.585654491,0.252,47.0,25.3,3411,3582,3764,24
55,79.554888176,44.679750746,0.15,36.0,22.9,3434,3493,3623,61
